Phone Issues,Time of Issue,Caller ID Number,Advertiser Business Phone Number,Type of Call or Message (Robocalls),Type of Call or Message (Telemarketing),State,Date (Ticket Date of Issue),Date (Ticket Created)
Telemarketing (including do not call and spoofing),1:00 PM,-,-,,Live Voice,Texas,2/1/2013,10/1/2015
Telemarketing (including do not call and spoofing),8:20 AM,610-990-4243,610-990-4243,,Abandoned Calls,Pennsylvania,7/1/2014,10/1/2015
Robocalls,-,202-066-3944,-,,,Delaware,11/6/2014,10/1/2015
Telemarketing (including do not call and spoofing),12:30 PM,-,-,,Live Voice,Texas,3/11/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:35 a.m.,414-323-0245,-,,Live Voice,South Carolina,6/25/2015,10/1/2015
Telemarketing (including do not call and spoofing),8:00 AM,-,-,,Prerecorded Voice,Arizona,8/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),-,-,-,,Prerecorded Voice,Tennessee,8/11/2015,10/1/2015
Telemarketing (including do not call and spoofing),6:00 a.m.,-,224-444-5900,,Prerecorded Voice,Illinois,8/12/2015,10/1/2015
Telemarketing (including do not call and spoofing),3:45 AM,213-503-8127,-,,Prerecorded Voice,California,8/18/2015,10/1/2015
Telemarketing (including do not call and spoofing),4:00 PM,-,-,,Live Voice,California,8/19/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:40 a.m.,-,202-370-6665,,Live Voice,Maryland,8/27/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:44 AM,844-437-4317,-,,Abandoned Calls,California,8/28/2015,10/1/2015
Robocalls,11:58 A.M.,816-836-3191,816-836-3191,Prerecorded Voice,,Washington,9/1/2015,10/1/2015
Robocalls,5:14 PM,-,556-429-0000,Abandoned Call,,Mississippi,9/1/2015,10/1/2015
Robocalls,8:00 a.m.,614-591-4211,-,Prerecorded Voice,,Nebraska,9/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:46 AM,267-233-6724,-,,Prerecorded Voice,West Virginia,9/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),8:00 AM,714-650-2624,-,,Live Voice,South Carolina,9/1/2015,10/1/2015
Robocalls,6:30 PM,928-257-4282,302-217-3719,Autodialed Live Voice Call,,Arizona,9/8/2015,10/1/2015
Telemarketing (including do not call and spoofing),7:00 p.m.,315-219-4323,-,,Prerecorded Voice,South Carolina,9/8/2015,10/1/2015
Telemarketing (including do not call and spoofing),12:04 PM,-,-,,Abandoned Calls,Washington,9/9/2015,10/1/2015
Telemarketing (including do not call and spoofing),9:00 AM,-,954-444-4134,,Abandoned Calls,Florida,9/10/2015,10/1/2015
Telemarketing (including do not call and spoofing),8:00 AM,-,-,,Live Voice,California,9/15/2015,10/1/2015
Robocalls,3:52 PM,401-203-8037,-,Abandoned Call,,New Jersey,9/16/2015,10/1/2015
Telemarketing (including do not call and spoofing),12:00 PM,614-262-4054,-,,Live Voice,Ohio,9/16/2015,10/1/2015
Telemarketing (including do not call and spoofing),7:00 PM,530-444-5507,-,,Live Voice,New York,9/16/2015,10/1/2015
Telemarketing (including do not call and spoofing),5:40 P.M.,520-353-4155,-,,Live Voice,Missouri,9/17/2015,10/1/2015
Telemarketing (including do not call and spoofing),9:32 AM,213-457-4056,866-819-3513,,Live Voice,Ohio,9/17/2015,10/1/2015
Telemarketing (including do not call and spoofing),2:00 p.m.,469-656-8497,-,,Prerecorded Voice,Pennsylvania,9/20/2015,10/1/2015
Robocalls,3:59 PM,786-298-5682,-,Prerecorded Voice,,Arizona,9/21/2015,10/1/2015
Telemarketing (including do not call and spoofing),9:00 PM,-,-,,Live Voice,Utah,9/21/2015,10/1/2015
Robocalls,4:17 PM,513-847-0089,513-847-0089,Abandoned Call,,North Dakota,9/23/2015,10/1/2015
Robocalls,6:27 PM,513-847-0089,513-847-0089,Abandoned Call,,North Dakota,9/23/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:01 a.m.,319-874-6840,-,,Live Voice,California,9/23/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:46 AM,717-657-3334,-,,Abandoned Calls,Pennsylvania,9/23/2015,10/1/2015
Telemarketing (including do not call and spoofing),2:15 p.m.,407-515-2416,-,,Prerecorded Voice,North Carolina,9/23/2015,10/1/2015
Robocalls,5:44 PM,513-847-0089,513-847-0089,Abandoned Call,,North Dakota,9/24/2015,10/1/2015
Telemarketing (including do not call and spoofing),1:25 PM,-,646-453-6293,,Prerecorded Voice,West Virginia,9/24/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:06 AM,347-779-0958,347-779-0958,,Live Voice,North Carolina,9/24/2015,10/1/2015
Telemarketing (including do not call and spoofing),12:44 PM,707-361-4694,-,,Abandoned Calls,Washington,9/24/2015,10/1/2015
Robocalls,1:00 PM,732-210-0446,-,Abandoned Call,,California,9/25/2015,10/1/2015
Robocalls,11:57 AM,513-847-0089,513-847-0089,Abandoned Call,,North Dakota,9/25/2015,10/1/2015
Robocalls,2:00 AM,-,-,Prerecorded Voice,,California,9/25/2015,10/1/2015
Robocalls,2:37 PM,678-487-8398,-,Prerecorded Voice,,Georgia,9/25/2015,10/1/2015
